model,dataset,prompt,control,correct_value_f1,control_value_f1,correct_minus_control_value_f1,ci95_low,ci95_high,correct_minus_control_source_macro_accuracy,source_macro_accuracy_ci95_low,source_macro_accuracy_ci95_high
qwen3vl8b,set_b100,p0,shuffled,0.5253077975376197,0.006230529595015576,0.5190772679426041,0.41373733544968533,0.6210751106070359,0.045,0.01,0.08
qwen3vl8b,set_b100,p0,text_only,0.5253077975376197,0.0,0.5253077975376197,0.42390078917700114,0.628482972136223,-0.015,-0.05,0.02
qwen3vl8b,set_b100,p1,shuffled,0.5933734939759037,0.002758620689655172,0.5906148732862485,0.5168473728106755,0.6632996632996633,0.065,0.035,0.0975
qwen3vl8b,set_b100,p1,text_only,0.5933734939759037,0.0,0.5933734939759037,0.5185185185185185,0.6655737704918033,0.085,0.0475,0.1225
qwen3vl8b,seed29_strict65,p0,shuffled,0.6586538461538461,0.015,0.6436538461538461,0.5633544064408061,0.7213114754098361,0.06923076923076923,0.03076923076923077,0.1076923076923077
qwen3vl8b,seed29_strict65,p0,text_only,0.6586538461538461,0.0,0.6586538461538461,0.5797752808988764,0.7338129496402878,0.026923076923076925,-0.023076923076923078,0.07692307692307693
qwen3vl8b,seed29_strict65,p1,shuffled,0.6558139534883721,0.015113350125944584,0.6407006033624275,0.5640504292137153,0.715647523831667,0.046153846153846156,0.011538461538461539,0.08076923076923077
qwen3vl8b,seed29_strict65,p1,text_only,0.6558139534883721,0.0,0.6558139534883721,0.5778894472361809,0.730593607305936,0.07692307692307693,0.03076923076923077,0.12307692307692308
qwen3vl8b,seed31_strict65,p0,shuffled,0.6157517899761337,0.024875621890547265,0.5908761680855864,0.47772361291805776,0.6971457776858349,0.06153846153846154,0.023076923076923078,0.1
qwen3vl8b,seed31_strict65,p0,text_only,0.6157517899761337,0.0,0.6157517899761337,0.5121293800539084,0.7176781002638523,0.007692307692307693,-0.038461538461538464,0.05
qwen3vl8b,seed31_strict65,p1,shuffled,0.630071599045346,0.02512562814070352,0.6049459709046425,0.4968393112841826,0.7128116576819407,0.07692307692307693,0.04230769230769231,0.11153846153846154
qwen3vl8b,seed31_strict65,p1,text_only,0.630071599045346,0.0,0.630071599045346,0.5240641711229946,0.7356948228882834,0.06538461538461539,0.015384615384615385,0.11153846153846154
qwen3vl32b,set_b100,p0,shuffled,0.5697258641239571,0.005805515239477504,0.5639203488844796,0.4383139574945613,0.7019548452663252,0.075,0.05,0.1
qwen3vl32b,set_b100,p0,text_only,0.5697258641239571,0.0,0.5697258641239571,0.4446412754650133,0.706199460916442,0.075,0.0475,0.1025
qwen3vl32b,set_b100,p1,shuffled,0.6142131979695431,0.005256241787122208,0.6089569561824208,0.49183673469387756,0.7168896604284868,0.0675,0.0425,0.0925
qwen3vl32b,set_b100,p1,text_only,0.6142131979695431,0.0,0.6142131979695431,0.4968684759916493,0.7213114754098361,0.0675,0.04,0.095
qwen3vl32b,seed29_strict65,p0,shuffled,0.7361111111111112,0.007736943907156673,0.7283741672039545,0.6530874640500761,0.7997927997927998,0.10384615384615385,0.06923076923076923,0.13846153846153847
qwen3vl32b,seed29_strict65,p0,text_only,0.7361111111111112,0.0,0.7361111111111112,0.663594470046083,0.8055555555555556,0.1076923076923077,0.07307692307692308,0.1423076923076923
qwen3vl32b,seed29_strict65,p1,shuffled,0.6873614190687362,0.00909090909090909,0.6782705099778271,0.6025124069478909,0.7549338836658258,0.08846153846153847,0.05384615384615385,0.12307692307692308
qwen3vl32b,seed29_strict65,p1,text_only,0.6873614190687362,0.0,0.6873614190687362,0.6121593291404612,0.7635467980295566,0.10384615384615385,0.07307692307692308,0.1346153846153846
qwen3vl32b,seed31_strict65,p0,shuffled,0.656934306569343,0.02197802197802198,0.634956284591321,0.5267706302794022,0.7363789152024446,0.06923076923076923,0.04230769230769231,0.1
qwen3vl32b,seed31_strict65,p0,text_only,0.656934306569343,0.0,0.656934306569343,0.5529953917050692,0.7551020408163265,0.05384615384615385,0.023076923076923078,0.08461538461538462
qwen3vl32b,seed31_strict65,p1,shuffled,0.6454767726161369,0.02100840336134454,0.6244683692547923,0.5207108680792891,0.7214943837116901,0.057692307692307696,0.023076923076923078,0.09230769230769231
qwen3vl32b,seed31_strict65,p1,text_only,0.6454767726161369,0.0,0.6454767726161369,0.5436105476673428,0.7443037974683544,0.06153846153846154,0.03076923076923077,0.09615384615384616
internvl35_8b,set_b100,p0,shuffled,0.012556053811659192,0.0,0.012556053811659192,0.0033500837520938024,0.026556016597510373,-0.0125,-0.0275,0.0025
internvl35_8b,set_b100,p0,text_only,0.012556053811659192,0.0,0.012556053811659192,0.0035714285714285713,0.026168224299065422,-0.105,-0.1375,-0.0725
internvl35_8b,set_b100,p1,shuffled,0.009009009009009009,0.0,0.009009009009009009,0.0031783869686134287,0.0179472798653954,0.0075,-0.015,0.0275
internvl35_8b,set_b100,p1,text_only,0.009009009009009009,0.0,0.009009009009009009,0.0031458906802988595,0.01762632197414806,-0.12,-0.1625,-0.0775
internvl35_8b,seed29_strict65,p0,shuffled,0.012332990750256937,0.0,0.012332990750256937,0.0018099547511312218,0.03129890453834116,-0.0038461538461538464,-0.026923076923076925,0.019230769230769232
internvl35_8b,seed29_strict65,p0,text_only,0.012332990750256937,0.0,0.012332990750256937,0.0017301038062283738,0.03076923076923077,-0.1076923076923077,-0.15,-0.06153846153846154
internvl35_8b,seed29_strict65,p1,shuffled,0.011741682974559686,0.0,0.011741682974559686,0.0027303754266211604,0.02656042496679947,-0.03076923076923077,-0.05384615384615385,-0.007692307692307693
internvl35_8b,seed29_strict65,p1,text_only,0.011741682974559686,0.0,0.011741682974559686,0.0027624309392265192,0.026446280991735537,-0.10384615384615385,-0.14615384615384616,-0.06153846153846154
internvl35_8b,seed31_strict65,p0,shuffled,0.02569593147751606,0.0018066847335140017,0.023889246744002057,0.008221166995455154,0.05091937765205092,0.007692307692307693,-0.015384615384615385,0.03076923076923077
internvl35_8b,seed31_strict65,p0,text_only,0.02569593147751606,0.0,0.02569593147751606,0.00968054211035818,0.0532994923857868,-0.08846153846153847,-0.13076923076923078,-0.046153846153846156
internvl35_8b,seed31_strict65,p1,shuffled,0.020338983050847456,0.0013175230566534915,0.019021459994193964,0.006617942419128399,0.03988124960988702,-0.0038461538461538464,-0.03076923076923077,0.023076923076923078
internvl35_8b,seed31_strict65,p1,text_only,0.020338983050847456,0.0,0.020338983050847456,0.007434944237918215,0.042238648363252376,-0.13076923076923078,-0.17692307692307693,-0.08846153846153847
