condition,connectivity_accuracy,count_accuracy,dataset,latency_mean_seconds,latency_p95_seconds,model,prompt,records,source_macro_accuracy,spatial_count_accuracy,strict_accuracy,value_exact_accuracy,value_f1,value_fn,value_fp,value_precision,value_recall,value_tp
correct,0.56,0.1,set_b100,0.9279430911084637,1.555554213002324,qwen3vl8b,p0,400,0.2875,0.3,0.2875,0.19,0.5253077975376197,156,191,0.5013054830287206,0.5517241379310345,192
shuffled,0.54,0.12,set_b100,0.839321216433309,1.4384782863780856,qwen3vl8b,p0,400,0.2425,0.31,0.2425,0.0,0.006230529595015576,346,292,0.006802721088435374,0.005747126436781609,2
text_only,0.58,0.08,set_b100,2.073707851525396,11.542277144268155,qwen3vl8b,p0,400,0.3025,0.54,0.3025,0.01,0.0,348,6268,0.0,0.0,0
correct,0.57,0.11,set_b100,1.0108017414691859,1.559784739278257,qwen3vl8b,p1,400,0.295,0.31,0.295,0.19,0.5933734939759037,151,119,0.6234177215189873,0.5660919540229885,197
shuffled,0.56,0.09,set_b100,0.9155207676370628,1.4876931179314852,qwen3vl8b,p1,400,0.23,0.27,0.23,0.0,0.002758620689655172,347,376,0.002652519893899204,0.0028735632183908046,1
text_only,0.57,0.1,set_b100,1.7478142587607726,11.446912438608706,qwen3vl8b,p1,400,0.21,0.17,0.21,0.0,0.0,348,1966,0.0,0.0,0
correct,0.5692307692307692,0.1076923076923077,seed29_strict65,0.7979878570382984,1.378479516133666,qwen3vl8b,p0,260,0.3153846153846154,0.3230769230769231,0.3153846153846154,0.26153846153846155,0.6586538461538461,87,55,0.7135416666666666,0.6116071428571429,137
shuffled,0.5384615384615384,0.09230769230769231,seed29_strict65,0.7920171411134875,1.335851483978331,qwen3vl8b,p0,260,0.24615384615384617,0.35384615384615387,0.24615384615384617,0.0,0.015,221,173,0.017045454545454544,0.013392857142857142,3
text_only,0.5538461538461539,0.06153846153846154,seed29_strict65,1.820099628637903,11.460502789355814,qwen3vl8b,p0,260,0.28846153846153844,0.5384615384615384,0.28846153846153844,0.0,0.0,224,3707,0.0,0.0,0
correct,0.5538461538461539,0.09230769230769231,seed29_strict65,0.8433490378137392,1.4712608316913247,qwen3vl8b,p1,260,0.27307692307692305,0.24615384615384617,0.27307692307692305,0.2,0.6558139534883721,83,65,0.6844660194174758,0.6294642857142857,141
shuffled,0.5384615384615384,0.09230769230769231,seed29_strict65,0.7976136791627281,1.3783830674365163,qwen3vl8b,p1,260,0.22692307692307692,0.27692307692307694,0.22692307692307692,0.0,0.015113350125944584,221,170,0.017341040462427744,0.013392857142857142,3
text_only,0.5538461538461539,0.06153846153846154,seed29_strict65,1.9746193098369986,11.527127597481012,qwen3vl8b,p1,260,0.19615384615384615,0.16923076923076924,0.19615384615384615,0.0,0.0,224,1389,0.0,0.0,0
correct,0.5230769230769231,0.046153846153846156,seed31_strict65,0.7735513799931281,1.4746843772009015,qwen3vl8b,p0,260,0.25769230769230766,0.2153846153846154,0.25769230769230766,0.24615384615384617,0.6157517899761337,75,86,0.6,0.6323529411764706,129
shuffled,0.49230769230769234,0.03076923076923077,seed31_strict65,0.8710507536486077,1.2950711864978075,qwen3vl8b,p0,260,0.19615384615384615,0.26153846153846155,0.19615384615384615,0.0,0.024875621890547265,199,193,0.025252525252525252,0.024509803921568627,5
text_only,0.5076923076923077,0.03076923076923077,seed31_strict65,1.6410878943637586,11.532703786157072,qwen3vl8b,p0,260,0.25,0.46153846153846156,0.25,0.0,0.0,204,3130,0.0,0.0,0
correct,0.5384615384615384,0.06153846153846154,seed31_strict65,0.8186851672541636,1.475217828527093,qwen3vl8b,p1,260,0.2653846153846154,0.2153846153846154,0.2653846153846154,0.24615384615384617,0.630071599045346,72,83,0.6139534883720931,0.6470588235294118,132
shuffled,0.5230769230769231,0.03076923076923077,seed31_strict65,0.9536945686997989,1.4693948961794376,qwen3vl8b,p1,260,0.18846153846153846,0.2,0.18846153846153846,0.0,0.02512562814070352,199,189,0.02577319587628866,0.024509803921568627,5
text_only,0.5076923076923077,0.15384615384615385,seed31_strict65,1.8240902658874312,11.45944547187537,qwen3vl8b,p1,260,0.2,0.13846153846153847,0.2,0.0,0.0,204,1085,0.0,0.0,0
correct,0.57,0.07,set_b100,1.7003804504009894,3.1110140308737755,qwen3vl32b,p0,400,0.3675,0.53,0.3675,0.3,0.5697258641239571,109,252,0.48676171079429736,0.6867816091954023,239
shuffled,0.56,0.07,set_b100,1.5454888349957765,3.0565872974693775,qwen3vl32b,p0,400,0.2925,0.54,0.2925,0.0,0.005805515239477504,346,339,0.005865102639296188,0.005747126436781609,2
text_only,0.57,0.09,set_b100,0.5293100570235402,2.3922291602939367,qwen3vl32b,p0,400,0.2925,0.51,0.2925,0.0,0.0,348,664,0.0,0.0,0
correct,0.57,0.07,set_b100,1.667904375407379,3.3429392613470554,qwen3vl32b,p1,400,0.365,0.53,0.365,0.29,0.6142131979695431,106,198,0.55,0.6954022988505747,242
shuffled,0.58,0.07,set_b100,1.607626572502777,3.0575867779552937,qwen3vl32b,p1,400,0.2975,0.54,0.2975,0.0,0.005256241787122208,346,411,0.004842615012106538,0.005747126436781609,2
text_only,0.57,0.1,set_b100,0.4454295203066431,1.432657533325255,qwen3vl32b,p1,400,0.2975,0.52,0.2975,0.0,0.0,348,542,0.0,0.0,0
