model,dataset,prompt,overall_strict_accuracy,connectivity_accuracy,count_accuracy,spatial_count_accuracy,value_exact_accuracy,value_tag_f1
qwen3vl8b,set_b100,p0,0.2875,0.56,0.1,0.3,0.19,0.5253077975376197
qwen3vl8b,set_b100,p1,0.295,0.57,0.11,0.31,0.19,0.5933734939759037
qwen3vl8b,seed29_strict65,p0,0.3153846153846154,0.5692307692307692,0.1076923076923077,0.3230769230769231,0.26153846153846155,0.6586538461538461
qwen3vl8b,seed29_strict65,p1,0.27307692307692305,0.5538461538461539,0.09230769230769231,0.24615384615384617,0.2,0.6558139534883721
qwen3vl8b,seed31_strict65,p0,0.25769230769230766,0.5230769230769231,0.046153846153846156,0.2153846153846154,0.24615384615384617,0.6157517899761337
qwen3vl8b,seed31_strict65,p1,0.2653846153846154,0.5384615384615384,0.06153846153846154,0.2153846153846154,0.24615384615384617,0.630071599045346
qwen3vl32b,set_b100,p0,0.3675,0.57,0.07,0.53,0.3,0.5697258641239571
qwen3vl32b,set_b100,p1,0.365,0.57,0.07,0.53,0.29,0.6142131979695431
qwen3vl32b,seed29_strict65,p0,0.39615384615384613,0.5538461538461539,0.06153846153846154,0.5538461538461539,0.4153846153846154,0.7361111111111112
qwen3vl32b,seed29_strict65,p1,0.38846153846153847,0.5538461538461539,0.06153846153846154,0.5538461538461539,0.38461538461538464,0.6873614190687362
qwen3vl32b,seed31_strict65,p0,0.3269230769230769,0.5230769230769231,0.06153846153846154,0.4461538461538462,0.27692307692307694,0.656934306569343
qwen3vl32b,seed31_strict65,p1,0.3269230769230769,0.5230769230769231,0.06153846153846154,0.4461538461538462,0.27692307692307694,0.6454767726161369
internvl35_8b,set_b100,p0,0.0325,0.0,0.11,0.02,0.0,0.012556053811659192
internvl35_8b,set_b100,p1,0.08,0.15,0.14,0.03,0.0,0.009009009009009009
internvl35_8b,seed29_strict65,p0,0.046153846153846156,0.0,0.07692307692307693,0.09230769230769231,0.015384615384615385,0.012332990750256937
internvl35_8b,seed29_strict65,p1,0.057692307692307696,0.09230769230769231,0.07692307692307693,0.046153846153846156,0.015384615384615385,0.011741682974559686
internvl35_8b,seed31_strict65,p0,0.03076923076923077,0.0,0.046153846153846156,0.06153846153846154,0.015384615384615385,0.02569593147751606
internvl35_8b,seed31_strict65,p1,0.057692307692307696,0.12307692307692308,0.07692307692307693,0.015384615384615385,0.015384615384615385,0.020338983050847456
