contrast,dataset,quality,source_bootstrap_ci95,source_count,source_macro_source_bootstrap_ci95,source_macro_strict_accuracy_difference,value_f1_difference,value_f1_difference_in_differences,value_f1_source_bootstrap_ci95
correct_minus_shuffled,seed29_strict65,blur_r1,,,"[0.011538461538461539, 0.08846153846153847]",0.05,0.5712989583824292,,"[0.48910675381263613, 0.6520153072632837]"
correct_minus_shuffled,seed29_strict65,clean,,,"[0.0038461538461538464, 0.08846153846153847]",0.046153846153846156,0.5861648053344022,,"[0.4949385524621144, 0.6763024276563244]"
correct_minus_shuffled,seed29_strict65,downsample_s075,,,"[0.023076923076923078, 0.1]",0.06153846153846154,0.5915289409323352,,"[0.511870541892899, 0.6693918044933378]"
correct_minus_shuffled,seed29_strict65,jpeg_q70,,,"[0.026923076923076925, 0.10384615384615385]",0.06538461538461539,0.597550992564295,,"[0.50419462094589, 0.6899766899766899]"
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,seed29_strict65,blur_r1,"[-0.09140706071085924, 0.06776857473373749]",,,,,-0.014865846951973016,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,seed29_strict65,downsample_s075,"[-0.04043087331622741, 0.06237075902095768]",,,,,0.0053641355979330285,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,seed29_strict65,jpeg_q70,"[-0.011920441013318905, 0.03218700785287398]",,,,,0.011386187229892819,
correct_minus_shuffled,seed31_strict65,blur_r1,,,"[-0.011538461538461539, 0.06923076923076923]",0.03076923076923077,0.5996741242088112,,"[0.49773045671056315, 0.6909382232508456]"
correct_minus_shuffled,seed31_strict65,clean,,,"[0.015384615384615385, 0.09230769230769231]",0.05384615384615385,0.5721060548646756,,"[0.4649591380176232, 0.6766930999908851]"
correct_minus_shuffled,seed31_strict65,downsample_s075,,,"[0.015384615384615385, 0.09615384615384616]",0.057692307692307696,0.5563347971422954,,"[0.45162835249042144, 0.6642964878258996]"
correct_minus_shuffled,seed31_strict65,jpeg_q70,,,"[0.0038461538461538464, 0.08846153846153847]",0.046153846153846156,0.6096825509889119,,"[0.5067948256884733, 0.7027940932146243]"
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,seed31_strict65,blur_r1,"[-0.0400656418532126, 0.10189117921028967]",,,,,0.027568069344135582,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,seed31_strict65,downsample_s075,"[-0.03736552595091053, 0.007234112878939047]",,,,,-0.015771257722380194,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,seed31_strict65,jpeg_q70,"[-0.010259696242279626, 0.09974365368045157]",,,,,0.0375764961242363,
correct_minus_shuffled,set_b100,blur_r1,,,"[0.035, 0.095]",0.065,0.5655682265714628,,"[0.45430809399477806, 0.6706720686793328]"
correct_minus_shuffled,set_b100,clean,,,"[0.02, 0.0875]",0.0525,0.5318678676129953,,"[0.4252383347510958, 0.6373929853631592]"
correct_minus_shuffled,set_b100,downsample_s075,,,"[0.03, 0.095]",0.0625,0.5174508659657174,,"[0.3991228070175439, 0.6280757874015748]"
correct_minus_shuffled,set_b100,jpeg_q70,,,"[0.0225, 0.0925]",0.0575,0.5356768776640732,,"[0.4308941422508355, 0.6397415185783522]"
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,set_b100,blur_r1,"[-0.0032203192421023097, 0.07515039866440221]",,,,,0.03370035895846746,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,set_b100,downsample_s075,"[-0.11979625542791766, 0.10311771953482451]",,,,,-0.014417001647277883,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,set_b100,jpeg_q70,"[-0.018590609358862253, 0.027754423649965665]",,,,,0.0038090100510779212,
correct_minus_shuffled,pooled_three_source_disjoint_subsets,blur_r1,,230,"[0.030434782608695653, 0.07173913043478261]",0.051086956521739134,0.5753985497527785,,"[0.5100943123582974, 0.6356112659004226]"
correct_minus_shuffled,pooled_three_source_disjoint_subsets,clean,,230,"[0.029347826086956522, 0.07282608695652174]",0.051086956521739134,0.5578434735555438,,"[0.4917032462347278, 0.6227325411392517]"
correct_minus_shuffled,pooled_three_source_disjoint_subsets,downsample_s075,,230,"[0.0391304347826087, 0.08152173913043478]",0.06086956521739131,0.5482311099329555,,"[0.4763352426739734, 0.6133661609232433]"
correct_minus_shuffled,pooled_three_source_disjoint_subsets,jpeg_q70,,230,"[0.03369565217391304, 0.0782608695652174]",0.05652173913043478,0.5721737526514802,,"[0.505950288151398, 0.6344047619047619]"
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,pooled_three_source_disjoint_subsets,blur_r1,"[-0.015478813489614884, 0.05169060719513785]",230,,,,0.01755507619723473,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,pooled_three_source_disjoint_subsets,downsample_s075,"[-0.06549207848696947, 0.05200100978035305]",230,,,,-0.009612363622588216,
degraded_minus_clean_change_in_correct_minus_shuffled_value_f1,pooled_three_source_disjoint_subsets,jpeg_q70,"[-0.0033976452668824653, 0.03451601924738912]",230,,,,0.014330279095936427,
